label;group;color;place;rich_club;region_name;hemisphere;group_old
8;leftCerebellum;#7f7f7f;non-RichClub;non-RichClub;Left-Cerebellum-Cortex;left;Cerebellum
10;leftSubcortical;#1f77b4;thalamus;thalamus;Left-Thalamus-Proper;left;Subcortical
11;leftSubcortical;#1f77b4;Caudate;non-RichClub;Left-Caudate;left;Subcortical
12;leftSubcortical;#1f77b4;putamen;putamen;Left-Putamen;left;Subcortical
13;leftSubcortical;#1f77b4;Pallidum;non-RichClub;Left-Pallidum;left;Subcortical
16;brainstem;#17becf;non-RichClub;non-RichClub;Brain-Stem;left;brainstem
17;leftSubcortical;#1f77b4;hippocampus;hippocampus;Left-Hippocampus;left;Subcortical
18;leftSubcortical;#1f77b4;non-RichClub;non-RichClub;Left-Amygdala;left;Subcortical
26;leftSubcortical;#1f77b4;non-RichClub;non-RichClub;Left-Accumbens-area;left;Subcortical
28;leftSubcortical;#1f77b4;non-RichClub;non-RichClub;Left-VentralDC;left;Subcortical
47;rightCerebellum;#7f7f7f;non-RichClub;non-RichClub;Right-Cerebellum-Cortex;right;Cerebellum
49;rightSubcortical;#1f77b4;thalamus;thalamus;Right-Thalamus-Proper;right;Subcortical
50;rightSubcortical;#1f77b4;Caudate;non-RichClub;Right-Caudate;right;Subcortical
51;rightSubcortical;#1f77b4;putamen;putamen;Right-Putamen;right;Subcortical
52;rightSubcortical;#1f77b4;Pallidum;non-RichClub;Right-Pallidum;right;Subcortical
53;rightSubcortical;#1f77b4;hippocampus;hippocampus;Right-Hippocampus;right;Subcortical
54;rightSubcortical;#1f77b4;non-RichClub;non-RichClub;Right-Amygdala;right;Subcortical
58;rightSubcortical;#1f77b4;non-RichClub;non-RichClub;Right-Accumbens-area;right;Subcortical
60;rightSubcortical;#1f77b4;non-RichClub;non-RichClub;Right-VentralDC;right;Subcortical
1001;leftTemporal;#ff7f0e;non-RichClub;non-RichClub;ctx-lh-bankssts;left;Temporal
1002;leftFrontal;#2ca02c;Cingulate;non-RichClub;ctx-lh-caudalanteriorcingulate;left;Frontal
1003;leftFrontal;#2ca02c;non-RichClub;non-RichClub;ctx-lh-caudalmiddlefrontal;left;Frontal
1005;leftOccipital;#d62728;non-RichClub;non-RichClub;ctx-lh-cuneus;left;Occipital
1006;leftTemporal;#ff7f0e;non-RichClub;non-RichClub;ctx-lh-entorhinal;left;Temporal
1007;leftTemporal;#ff7f0e;non-RichClub;non-RichClub;ctx-lh-fusiform;left;Temporal
1008;leftParietal;#9467bd;non-RichClub;non-RichClub;ctx-lh-inferiorparietal;left;Parietal
1009;leftTemporal;#ff7f0e;non-RichClub;non-RichClub;ctx-lh-inferiortemporal;left;Temporal
1010;leftOccipital;#d62728;Cingulate;non-RichClub;ctx-lh-isthmuscingulate;left;Occipital
1011;leftOccipital;#d62728;non-RichClub;non-RichClub;ctx-lh-lateraloccipital;left;Occipital
1012;leftFrontal;#2ca02c;non-RichClub;non-RichClub;ctx-lh-lateralorbitofrontal;left;Frontal
1013;leftOccipital;#d62728;non-RichClub;non-RichClub;ctx-lh-lingual;left;Occipital
1014;leftFrontal;#2ca02c;non-RichClub;non-RichClub;ctx-lh-medialorbitofrontal;left;Frontal
1015;leftTemporal;#ff7f0e;non-RichClub;non-RichClub;ctx-lh-middletemporal;left;Temporal
1016;leftTemporal;#ff7f0e;non-RichClub;non-RichClub;ctx-lh-parahippocampal;left;Temporal
1017;leftFrontal;#2ca02c;Paracentral;non-RichClub;ctx-lh-paracentral;left;Frontal
1018;leftFrontal;#2ca02c;non-RichClub;non-RichClub;ctx-lh-parsopercularis;left;Frontal
1019;leftFrontal;#2ca02c;non-RichClub;non-RichClub;ctx-lh-parsorbitalis;left;Frontal
1020;leftFrontal;#2ca02c;non-RichClub;non-RichClub;ctx-lh-parstriangularis;left;Frontal
1021;leftOccipital;#d62728;non-RichClub;non-RichClub;ctx-lh-pericalcarine;left;Occipital
1022;leftParietal;#9467bd;non-RichClub;non-RichClub;ctx-lh-postcentral;left;Parietal
1023;leftParietal;#9467bd;Cingulate;non-RichClub;ctx-lh-posteriorcingulate;left;Parietal
1024;leftFrontal;#2ca02c;non-RichClub;non-RichClub;ctx-lh-precentral;left;Frontal
1025;leftParietal;#9467bd;precuneus;precuneus;ctx-lh-precuneus;left;Parietal
1026;leftFrontal;#2ca02c;Cingulate;non-RichClub;ctx-lh-rostralanteriorcingulate;left;Frontal
1027;leftFrontal;#2ca02c;non-RichClub;non-RichClub;ctx-lh-rostralmiddlefrontal;left;Frontal
1028;leftFrontal;#2ca02c;Superior frontal Cortex;Superior frontal Cortex;ctx-lh-superiorfrontal;left;Frontal
1029;leftParietal;#9467bd;superiorParietal;#9467bd;superiorParietal;#9467bd;ctx-lh-superiorparietal;left;Parietal
1030;leftTemporal;#ff7f0e;non-RichClub;non-RichClub;ctx-lh-superiortemporal;left;Temporal
1031;leftParietal;#9467bd;non-RichClub;non-RichClub;ctx-lh-supramarginal;left;Parietal
1032;leftFrontal;#2ca02c;non-RichClub;non-RichClub;ctx-lh-frontalpole;left;Frontal
1033;leftTemporal;#ff7f0e;non-RichClub;non-RichClub;ctx-lh-temporalpole;left;Temporal
1034;leftTemporal;#ff7f0e;non-RichClub;non-RichClub;ctx-lh-transversetemporal;left;Temporal
1035;leftSubcortical;#1f77b4;non-RichClub;non-RichClub;ctx-lh-insula;left;Subcortical
2001;rightTemporal;#ff7f0e;non-RichClub;non-RichClub;ctx-rh-bankssts;right;Temporal
2002;rightFrontal;#2ca02c;Cingulate;non-RichClub;ctx-rh-caudalanteriorcingulate;right;Frontal
2003;rightFrontal;#2ca02c;non-RichClub;non-RichClub;ctx-rh-caudalmiddlefrontal;right;Frontal
