label;group;color;region_name;hemisphere
8;leftCerebellum;#7f7f7f;Left-Cerebellum-Cortex;left
10;leftSubcortical;#1f77b4;Left-Thalamus-Proper;left
11;leftSubcortical;#1f77b4;Left-Caudate;left
12;leftSubcortical;#1f77b4;Left-Putamen;left
13;leftSubcortical;#1f77b4;Pallidum;non-RichClub;Left-Pallidum;left
16;brainstem;#17becf;Brain-Stem;left
17;leftSubcortical;#1f77b4;Left-Hippocampus;left
18;leftSubcortical;#1f77b4;Left-Amygdala;left
26;leftSubcortical;#1f77b4;Left-Accumbens-area;left;
28;leftSubcortical;#1f77b4;Left-VentralDC;left
47;rightCerebellum;#7f7f7f;Right-Cerebellum-Cortex;right
49;rightSubcortical;#1f77b4;Right-Thalamus-Proper;right
50;rightSubcortical;#1f77b4;Right-Caudate;right;
51;rightSubcortical;#1f77b4;Right-Putamen;right
52;rightSubcortical;#1f77b4;Right-Pallidum;right
53;rightSubcortical;#1f77b4;Right-Hippocampus;right
54;rightSubcortical;#1f77b4;Right-Amygdala;right
58;rightSubcortical;#1f77b4;Right-Accumbens-area;right
60;rightSubcortical;#1f77b4;Right-VentralDC;right
1001;leftTemporal;#ff7f0e;ctx-lh-bankssts;left
1002;leftFrontal;#2ca02c;ctx-lh-caudalanteriorcingulate;left
1003;leftFrontal;#2ca02c;ctx-lh-caudalmiddlefrontal;left
1005;leftOccipital;#d62728;ctx-lh-cuneus;left
1006;leftTemporal;#ff7f0e;ctx-lh-entorhinal;left
1007;leftTemporal;#ff7f0e;ctx-lh-fusiform;left
1008;leftParietal;#9467bd;ctx-lh-inferiorparietal;left
1009;leftTemporal;#ff7f0e;ctx-lh-inferiortemporal;left
1010;leftOccipital;#d62728;ctx-lh-isthmuscingulate;left
1011;leftOccipital;#d62728;ctx-lh-lateraloccipital;left
1012;leftFrontal;#2ca02c;ctx-lh-lateralorbitofrontal;left
1013;leftOccipital;#d62728;ctx-lh-lingual;left
1014;leftFrontal;#2ca02c;ctx-lh-medialorbitofrontal;left
1015;leftTemporal;#ff7f0e;ctx-lh-middletemporal;left
1016;leftTemporal;#ff7f0e;ctx-lh-parahippocampal;left
1017;leftFrontal;#2ca02c;ctx-lh-paracentral;left
1018;leftFrontal;#2ca02c;ctx-lh-parsopercularis;left
1019;leftFrontal;#2ca02c;ctx-lh-parsorbitalis;left
1020;leftFrontal;#2ca02c;ctx-lh-parstriangularis;left
1021;leftOccipital;#d62728;ctx-lh-pericalcarine;left
1022;leftParietal;#9467bd;ctx-lh-postcentral;left
1023;leftParietal;#9467bd;ctx-lh-posteriorcingulate;left
1024;leftFrontal;#2ca02c;ctx-lh-precentral;left
1025;leftParietal;#9467bd;ctx-lh-precuneus;left
1026;leftFrontal;#2ca02c;ctx-lh-rostralanteriorcingulate;left
1027;leftFrontal;#2ca02c;ctx-lh-rostralmiddlefrontal;left
1028;leftFrontal;#2ca02c;ctx-lh-superiorfrontal;left
1029;leftParietal;#9467bd;ctx-lh-superiorparietal;left
1030;leftTemporal;#ff7f0e;ctx-lh-superiortemporal;left
1031;leftParietal;#9467bd;ctx-lh-supramarginal;left
1032;leftFrontal;#2ca02c;ctx-lh-frontalpole;left
1033;leftTemporal;#ff7f0e;ctx-lh-temporalpole;left
1034;leftTemporal;#ff7f0e;ctx-lh-transversetemporal;left
1035;leftSubcortical;#1f77b4;ctx-lh-insula;left
2001;rightTemporal;#ff7f0e;ctx-rh-bankssts;right
2002;rightFrontal;#2ca02c;ctx-rh-caudalanteriorcingulate;right
2003;rightFrontal;#2ca02c;ctx-rh-caudalmiddlefrontal;right
2005;rightOccipital;#d62728;ctx-rh-cuneus;right
2006;rightTemporal;#ff7f0e;ctx-rh-entorhinal;right
2007;rightTemporal;#ff7f0e;ctx-rh-fusiform;right
2008;rightParietal;#9467bd;ctx-rh-inferiorparietal;right
2009;rightTemporal;#ff7f0e;ctx-rh-inferiortemporal;right
2010;rightOccipital;#d62728;ctx-rh-isthmuscingulate;right
2011;rightOccipital;#d62728;ctx-rh-lateraloccipital;right
2012;rightFrontal;#2ca02c;ctx-rh-lateralorbitofrontal;right
2013;rightOccipital;#d62728;ctx-rh-lingual;right
2014;rightFrontal;#2ca02c;ctx-rh-medialorbitofrontal;right
2015;rightTemporal;#ff7f0e;ctx-rh-middletemporal;right
2016;rightTemporal;#ff7f0e;ctx-rh-parahippocampal;right
2017;rightFrontal;#2ca02c;ctx-rh-paracentral;right
2018;rightFrontal;#2ca02c;ctx-rh-parsopercularis;right
2019;rightFrontal;#2ca02c;ctx-rh-parsorbitalis;right
2020;rightFrontal;#2ca02c;ctx-rh-parstriangularis;right
2021;rightOccipital;#d62728;ctx-rh-pericalcarine;right
2022;rightParietal;#9467bd;ctx-rh-postcentral;right
2023;rightParietal;#9467bd;ctx-rh-posteriorcingulate;right
2024;rightFrontal;#2ca02c;ctx-rh-precentral;right
2025;rightParietal;#9467bd;ctx-rh-precuneus;right
2026;rightFrontal;#2ca02c;ctx-rh-rostralanteriorcingulate;right
2027;rightFrontal;#2ca02c;ctx-rh-rostralmiddlefrontal;right
2028;rightFrontal;#2ca02c;ctx-rh-superiorfrontal;right
2029;rightParietal;#9467bd;ctx-rh-superiorparietal;right
2030;rightTemporal;#ff7f0e;ctx-rh-superiortemporal;right
2031;rightParietal;#9467bd;ctx-rh-supramarginal;right
2032;rightFrontal;#2ca02c;ctx-rh-frontalpole;right
2033;rightTemporal;#ff7f0e;ctx-rh-temporalpole;right
2034;rightTemporal;#ff7f0e;ctx-rh-transversetemporal;right
2035;rightSubcortical;#1f77b4;ctx-rh-insula;right
